# NoShotZone v1  units=mm  frame=world
# Polygon(e) der ERLAUBTEN Schusszone: innerhalb = Feuern erlaubt, ausserhalb = No-Shot.
# Mehrere Ringe durch Leerzeile getrennt (Loecher = No-Shot-Inseln).
# x,y  (Welt, Millimeter, ganzzahlig)
#
# NUR SICHERHEITSKOPIE - keine Quelle. Die Source of truth im Repo ist
# Controller/Manager6_3_0/data/noshot.csv (siehe KartenUpload.md dort); der
# VPS committet den vom Manager bestaetigten Stand automatisch HIERHIN UND
# dorthin (/mapsync in dashboard.py). Diese Datei von Hand zu editieren
# aendert NICHTS am Manager - dafuer immer Controller/Manager6_3_0/data/
# verwenden.
115,2
132,1301
1891,1376
2922,2558
3475,4946
4078,7485
4631,9998
5008,12537
5360,13668
6718,13668
6693,12512
6768,11255
7773,11280
7824,10602
8729,10577
8653,9546
7824,9471
7748,44
